scheduled_arrival_station_code,avg_dep_delay,avg_arr_delay,avg_load_factor,avg_bag_ratio,avg_csr_load,total_flights,critical_flights
IAD,25.81111111111111,25.966666666666665,1.0168851394140035,,0.0,90,90
IAH,24.31875,14.8375,1.0614423882681563,,0.0,160,160
ICT,24.333333333333332,17.058823529411764,0.9608350942716267,,0.0,51,51
ILM,8.2,-1.2,1.0201754385964912,,0.0,15,15
IND,27.451923076923077,23.528846153846153,0.8207444006866704,,0.0,104,104
JAC,11.0,9.413793103448276,1.180350301039956,,0.0,29,29
JAX,23.36842105263158,20.973684210526315,1.0217766810717996,,0.0,38,38
JLN,67.86666666666666,57.46666666666667,0.8706666666666667,,0.0,15,15
JST,20.666666666666668,14.333333333333334,0.6426666666666667,,0.0,15,15
KEF,35.333333333333336,24.333333333333332,0.9477272727272726,,0.0,15,15
LAF,55.1764705882353,52.94117647058823,0.34352941176470586,,0.0,17,17
LAS,16.732558139534884,6.290697674418604,0.981990714579769,,0.0,86,86
LAX,25.496774193548386,14.096774193548388,1.0728207988015863,,0.0,155,154
LEX,21.322033898305083,16.440677966101696,0.9616961896266089,,0.0,59,59
LGA,17.45744680851064,15.356382978723405,1.0184175571837308,,0.0,188,185
LHR,58.75555555555555,47.31111111111111,1.026480372588157,,0.0,45,45
LIR,-5.75,-5.5,1.0279329608938546,,0.0,4,4
LIT,13.585365853658537,4.2439024390243905,0.9639024390243903,,0.0,41,41
LNK,33.083333333333336,29.183333333333334,0.9813333333333334,,0.0,60,60
MBJ,10.571428571428571,16.285714285714285,1.085197934595525,,0.0,7,7
MBS,17.77777777777778,14.066666666666666,0.9106666666666666,,0.0,45,45
MCI,16.275,13.025,1.0145582958259438,,0.0,80,80
MCO,21.341176470588234,18.152941176470588,1.2503423399347777,,0.0,85,85
MCW,14.12,15.92,0.4472,,0.0,25,23
MDT,18.694915254237287,12.898305084745763,0.9645766683002113,,0.0,59,59
MEM,17.43103448275862,10.379310344827585,0.8771210550617216,,0.0,58,58
MEX,3.2666666666666666,-7.266666666666667,1.0973333333333335,,0.0,15,15
MGW,41.53333333333333,37.06666666666667,0.6373333333333334,,0.0,15,15
MIA,5.633333333333334,-0.6666666666666666,1.050662987144107,,0.0,30,30
MKE,32.0,29.69,0.8883631578947369,,0.0,100,100
MLI,22.74576271186441,18.305084745762713,0.9727207850133809,,0.0,59,59
MSN,10.506172839506172,1.7530864197530864,0.9481837309322689,,0.0,81,81
MSO,-3.533333333333333,-17.4,1.0899665701913799,,0.0,15,15
MSP,25.696969696969695,17.151515151515152,0.9669190875087086,,0.0,99,99
MSY,20.414634146341463,15.24390243902439,0.9469311964229536,,0.0,41,41
MTJ,-2.25,-6.0,1.263157894736842,,0.0,4,4
MTY,3.9285714285714284,-10.071428571428571,1.0274167561761547,,0.0,14,13
MUC,28.133333333333333,16.2,0.9275720164609054,,0.0,15,15
MXP,37.13333333333333,29.466666666666665,0.959122085048011,,0.0,15,15
MYR,16.235294117647058,15.941176470588236,1.2245603367101254,,0.0,17,17
NAS,-3.75,-11.75,1.4984939759036144,,0.0,4,4
OGG,-4.5,-0.5,1.478206914220749,,0.0,2,2
OKC,15.69811320754717,4.433962264150943,0.9913363597673428,,0.0,53,53
OMA,32.611111111111114,27.569444444444443,0.9766302150272463,,0.0,72,72
ONT,57.8,43.2,0.9830432842481035,,0.0,15,15
ORF,20.96551724137931,18.517241379310345,1.1412265274139277,,0.0,29,29
PDX,17.366197183098592,4.028169014084507,1.0863772755669778,,0.0,71,71
PHL,18.333333333333332,18.10144927536232,1.0473459919153503,,0.0,69,69
PHX,10.338983050847459,1.4915254237288136,0.9259625377753795,,0.0,59,59
PIA,27.74576271186441,27.084745762711865,0.9908474576271187,,0.0,59,59
PIT,10.52112676056338,4.957746478873239,0.9865312131536648,,0.0,71,71
PLN,23.333333333333332,25.6,0.9793333333333333,,0.0,30,30
PLS,-6.0,-0.5,1.1312849162011172,,0.0,2,2
PNS,-3.6666666666666665,-16.6,1.1857989417989419,,0.0,15,15
PUJ,1.8,-0.6666666666666666,1.231657355679702,,0.0,15,15
PVD,10.8,4.866666666666666,0.9931829573934837,,0.0,30,30
PVR,-3.5,-26.5,1.37,,0.0,2,2
PWM,20.375,14.25,1.1433974494469106,,0.0,40,40
RAP,14.1,1.9,0.9950768588137009,,0.0,30,30
RDU,11.089285714285714,13.875,1.023779551756984,,0.0,56,56
RHI,18.344827586206897,17.344827586206897,1.0179310344827586,,0.0,29,29
RIC,27.133333333333333,28.2,1.0531377506685053,,0.0,45,45
RNO,52.46666666666667,43.13333333333333,1.0285714285714287,,0.0,15,15
ROA,37.45945945945946,34.4054054054054,0.9819589514326357,,0.0,37,37
ROC,16.20689655172414,11.879310344827585,1.00099527860298,,0.0,58,58
RSW,16.622222222222224,13.333333333333334,1.0536423982709235,,0.0,45,44
SAN,17.333333333333332,9.586666666666666,1.1062481434116354,,0.0,75,74
SAT,18.323529411764707,5.382352941176471,0.9898344942210933,,0.0,34,34
SAV,10.179487179487179,4.794871794871795,1.0360922061157287,,0.0,39,39
SBN,42.59090909090909,39.05681818181818,0.8982416267942583,,0.0,88,88
SCE,6.537037037037037,0.5925925925925926,0.9425925925925925,,0.0,54,54
SDF,9.272727272727273,1.2727272727272727,0.8596842105263157,,0.0,55,55
SEA,24.272727272727273,16.181818181818183,1.1090535844070375,,0.0,88,87
SFO,21.585526315789473,11.43421052631579,1.1027092885307381,,0.0,152,151
SGF,18.215686274509803,8.03921568627451,1.0196078431372548,,0.0,51,51
SJC,40.5,31.571428571428573,1.0533805850086775,,0.0,14,14
SJD,-6.0,-37.0,1.3433734939759037,,0.0,2,2
SJO,-3.75,3.5,1.1400602409638554,,0.0,4,4
SJU,16.6,14.8,1.1013035381750464,,0.0,30,30
SLC,13.909090909090908,9.295454545454545,1.0482114822928077,,0.0,44,44
SLN,37.266666666666666,28.0,0.8586666666666666,,0.0,15,15
SMF,26.244444444444444,18.42222222222222,1.0360403750320961,,0.0,45,45
SNA,14.0,10.9,1.151851851851852,,0.0,30,30
SNN,40.13333333333333,23.0,0.9651515151515151,,0.0,15,15
SRQ,5.533333333333333,4.866666666666666,1.022112855073749,,0.0,15,15
STL,30.427350427350426,22.88888888888889,1.0253396457539345,,0.0,117,117
STT,-4.5,-7.0,1.2259036144578315,,0.0,2,2
SUN,54.714285714285715,25.142857142857142,0.8224489795918367,,0.0,7,7
SUX,45.266666666666666,45.2,0.7853333333333334,,0.0,15,15
SYR,28.073170731707318,25.51219512195122,0.988023106546855,,0.0,41,41
TPA,27.0,19.844444444444445,1.122205021202127,,0.0,45,45
TUL,12.694915254237289,4.610169491525424,1.0126290302026253,,0.0,59,59
TUS,3.6,-12.066666666666666,0.9929573934837094,,0.0,15,15
TVC,13.818181818181818,9.651515151515152,0.932731549186419,,0.0,66,66
TYS,17.576923076923077,8.98076923076923,0.9560579991065089,,0.0,52,52
UVF,4.0,4.5,1.1468253968253967,,0.0,2,2
XNA,13.092592592592593,3.6666666666666665,1.0248148148148148,,0.0,54,54
YHZ,10.5,15.5,1.0855263157894737,,0.0,2,2
YOW,9.045454545454545,4.454545454545454,0.9797539302802462,,0.0,44,44
YQB,4.466666666666667,-1.4666666666666666,1.0096491228070177,,0.0,15,15
YUL,8.977777777777778,5.155555555555556,0.9806820263510182,,0.0,45,45
YVR,32.241379310344826,19.551724137931036,1.0512963044626977,,0.0,29,29
YWG,22.2,11.0,0.94,,0.0,30,30
YYC,25.066666666666666,15.333333333333334,1.100951558294898,,0.0,30,30
YYZ,18.383838383838384,11.696969696969697,1.016180102460136,,0.0,99,99
ZRH,13.4,5.466666666666667,1.0570858283433135,,0.0,15,15
